,headline,url,img_src,tag,topic
21,รพ. วชิรพยาบาล รักษาอาการปวดเข่าโดยวิธีปั่นเลือดและฉีดที่หัวเข่า ข้างละ 300 บาท,https://www.antifakenewscenter.com/news/activity/%e0%b8%a3%e0%b8%9e-%e0%b8%a7%e0%b8%8a%e0%b8%b4%e0%b8%a3%e0%b8%9e%e0%b8%a2%e0%b8%b2%e0%b8%9a%e0%b8%b2%e0%b8%a5-%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b8%ad%e0%b8%b2%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%9b%e0%b8%a7%e0%b8%94%e0%b9%80%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b9%82%e0%b8%94%e0%b8%a2%e0%b8%a7%e0%b8%b4%e0%b8%98%e0%b8%b5%e0%b8%9b%e0%b8%b1%e0%b9%88%e0%b8%99%e0%b9%80%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%94%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b8%89%e0%b8%b5%e0%b8%94%e0%b8%97%e0%b8%b5%e0%b9%88%e0%b8%ab%e0%b8%b1%e0%b8%a7%e0%b9%80%e0%b8%82%e0%b9%88%e0%b8%b2-%e0%b8%82%e0%b9%89%e0%b8%b2%e0%b8%87%e0%b8%a5%e0%b8%b0-300-%e0%b8%9a%e0%b8%b2%e0%b8%97,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-26.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
22,ข่าวปลอม อย่าแชร์! สำนักงานสลากกินแบ่งรัฐบาล เผยเลขลับเฉพาะวงในทุกงวด,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%aa%e0%b8%b3%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%87%e0%b8%b2%e0%b8%99%e0%b8%aa%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%81%e0%b8%b4%e0%b8%99%e0%b9%81%e0%b8%9a%e0%b9%88%e0%b8%87%e0%b8%a3%e0%b8%b1%e0%b8%90%e0%b8%9a%e0%b8%b2%e0%b8%a5-%e0%b9%80%e0%b8%9c%e0%b8%a2%e0%b9%80%e0%b8%a5%e0%b8%82%e0%b8%a5%e0%b8%b1%e0%b8%9a%e0%b9%80%e0%b8%89%e0%b8%9e%e0%b8%b2%e0%b8%b0%e0%b8%a7%e0%b8%87%e0%b9%83%e0%b8%99%e0%b8%97%e0%b8%b8%e0%b8%81%e0%b8%87%e0%b8%a7%e0%b8%94,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-25.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
23,กรมอนามัย เสนอให้กำหนดกลิ่นและควันกัญชา กัญชง เข้าข่ายเป็นเหตุรำคาญ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%81%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%99%e0%b8%b2%e0%b8%a1%e0%b8%b1%e0%b8%a2-%e0%b9%80%e0%b8%aa%e0%b8%99%e0%b8%ad%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b8%81%e0%b8%b3%e0%b8%ab%e0%b8%99%e0%b8%94%e0%b8%81%e0%b8%a5%e0%b8%b4%e0%b9%88%e0%b8%99%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b8%84%e0%b8%a7%e0%b8%b1%e0%b8%99%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%b2-%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%87-%e0%b9%80%e0%b8%82%e0%b9%89%e0%b8%b2%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a2%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b9%80%e0%b8%ab%e0%b8%95%e0%b8%b8%e0%b8%a3%e0%b8%b3%e0%b8%84%e0%b8%b2%e0%b8%8d-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-34.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
24,ข่าวปลอม อย่าแชร์! หากสแกน QR Code จากใบนัดนำจ่ายสิ่งของส่งทางไปรษณีย์ สามารถถูกดูดเงินในบัญชีได้,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%ab%e0%b8%b2%e0%b8%81%e0%b8%aa%e0%b9%81%e0%b8%81%e0%b8%99-qr-code-%e0%b8%88%e0%b8%b2%e0%b8%81%e0%b9%83%e0%b8%9a%e0%b8%99%e0%b8%b1%e0%b8%94%e0%b8%99%e0%b8%b3%e0%b8%88%e0%b9%88%e0%b8%b2%e0%b8%a2%e0%b8%aa%e0%b8%b4%e0%b9%88%e0%b8%87%e0%b8%82%e0%b8%ad%e0%b8%87%e0%b8%aa%e0%b9%88%e0%b8%87%e0%b8%97%e0%b8%b2%e0%b8%87%e0%b9%84%e0%b8%9b%e0%b8%a3%e0%b8%a9%e0%b8%93%e0%b8%b5%e0%b8%a2%e0%b9%8c-%e0%b8%aa%e0%b8%b2%e0%b8%a1%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%96%e0%b8%b9%e0%b8%81%e0%b8%94%e0%b8%b9%e0%b8%94%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%99%e0%b9%83%e0%b8%99%e0%b8%9a%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%b5%e0%b9%84%e0%b8%94%e0%b9%89,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-36.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
25,ข่าวปลอม อย่าแชร์! ธนาคารแห่งประเทศไทย ให้กู้ยืมเงินผ่าน Application และ Line,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%98%e0%b8%99%e0%b8%b2%e0%b8%84%e0%b8%b2-3,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-24.jpg,   ข่าวปลอม,การเงิน-หุ้น
26,เปิดร่าง พ.ร.บ.คู่รัก เพศเดียวกันจดทะเบียนสมรสกันได้ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b9%80%e0%b8%9b%e0%b8%b4%e0%b8%94%e0%b8%a3%e0%b9%88%e0%b8%b2%e0%b8%87-%e0%b8%9e-%e0%b8%a3-%e0%b8%9a-%e0%b8%84%e0%b8%b9%e0%b9%88%e0%b8%a3%e0%b8%b1%e0%b8%81-%e0%b9%80%e0%b8%9e%e0%b8%a8%e0%b9%80%e0%b8%94%e0%b8%b5%e0%b8%a2%e0%b8%a7%e0%b8%81%e0%b8%b1%e0%b8%99%e0%b8%88%e0%b8%94%e0%b8%97%e0%b8%b0%e0%b9%80%e0%b8%9a%e0%b8%b5%e0%b8%a2%e0%b8%99%e0%b8%aa%e0%b8%a1%e0%b8%a3%e0%b8%aa%e0%b8%81%e0%b8%b1%e0%b8%99%e0%b9%84%e0%b8%94%e0%b9%89-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-21.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
27,ข่าวบิดเบือน รับประทานยาแก้แพ้บ่อย ๆ ร่างกายจะแย่,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9a%e0%b8%b4%e0%b8%94%e0%b9%80%e0%b8%9a%e0%b8%b7%e0%b8%ad%e0%b8%99-%e0%b8%a3%e0%b8%b1%e0%b8%9a%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%97%e0%b8%b2%e0%b8%99%e0%b8%a2%e0%b8%b2%e0%b9%81%e0%b8%81%e0%b9%89%e0%b9%81%e0%b8%9e%e0%b9%89%e0%b8%9a%e0%b9%88%e0%b8%ad%e0%b8%a2-%e0%b9%86-%e0%b8%a3%e0%b9%88%e0%b8%b2%e0%b8%87%e0%b8%81%e0%b8%b2%e0%b8%a2%e0%b8%88%e0%b8%b0%e0%b9%81%e0%b8%a2%e0%b9%88,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-23.jpg,   ข่าวบิดเบือน,ผลิตภัณฑ์สุขภาพ
28,ข่าวปลอม อย่าแชร์! ข้อมูลผู้ป่วยรพ. ศิริราชกว่า 39 ล้านคน รั่วไหลถูกนำไปประกาศขายในอินเทอร์เน็ต,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%82%e0%b9%89%e0%b8%ad%e0%b8%a1%e0%b8%b9-2,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-32.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
29,ก. แรงงานปรับมาตรการ การนำเข้าแรงงานต่างด้าวทั่วประเทศ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%81-%e0%b9%81%e0%b8%a3%e0%b8%87%e0%b8%87%e0%b8%b2%e0%b8%99%e0%b8%9b%e0%b8%a3%e0%b8%b1%e0%b8%9a%e0%b8%a1%e0%b8%b2%e0%b8%95%e0%b8%a3%e0%b8%81%e0%b8%b2%e0%b8%a3-%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%99%e0%b8%b3%e0%b9%80%e0%b8%82%e0%b9%89%e0%b8%b2%e0%b9%81%e0%b8%a3%e0%b8%87%e0%b8%87%e0%b8%b2%e0%b8%99%e0%b8%95%e0%b9%88%e0%b8%b2%e0%b8%87%e0%b8%94%e0%b9%89%e0%b8%b2%e0%b8%a7%e0%b8%97%e0%b8%b1%e0%b9%88%e0%b8%a7%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%97%e0%b8%a8-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-30.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
30,"ข่าวปลอม อย่าแชร์!   ออมสินเปิดให้กู้ยืม สินเชื่อเพื่อดำรงชีพฟื้นฟู วงเงิน 5,000 - 30,000 บาท",https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%ad%e0%b8%ad%e0%b8%a1%e0%b8%aa%e0%b8%b4%e0%b8%99%e0%b9%80%e0%b8%9b%e0%b8%b4%e0%b8%94%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b8%81%e0%b8%b9%e0%b9%89%e0%b8%a2%e0%b8%b7%e0%b8%a1-%e0%b8%aa%e0%b8%b4%e0%b8%99%e0%b9%80%e0%b8%8a%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b9%80%e0%b8%9e%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%94%e0%b8%b3%e0%b8%a3%e0%b8%87%e0%b8%8a%e0%b8%b5%e0%b8%9e%e0%b8%9f%e0%b8%b7%e0%b9%89%e0%b8%99%e0%b8%9f%e0%b8%b9-%e0%b8%a7%e0%b8%87%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%99-5000-30000-%e0%b8%9a%e0%b8%b2%e0%b8%97,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-29.jpg,   ข่าวปลอม,การเงิน-หุ้น
31,ข่าวปลอม อย่าแชร์! รัฐบาลกู้เงินจนหนี้ท่วมการคลัง ไม่สามารถจัดการหนี้ได้,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%a3%e0%b8%b1%e0%b8%90%e0%b8%9a%e0%b8%b2-8,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-28.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
32,กรมราชทัณฑ์กำหนดให้ผู้ที่กระทำความผิดเกี่ยวกับ Marijuana (กัญชา) พ้นคุกแบบไร้มลทิน จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%81%e0%b8%a3%e0%b8%a1%e0%b8%a3%e0%b8%b2%e0%b8%8a%e0%b8%97%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c%e0%b8%81%e0%b8%b3%e0%b8%ab%e0%b8%99%e0%b8%94%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b8%9c%e0%b8%b9%e0%b9%89%e0%b8%97%e0%b8%b5%e0%b9%88%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b8%97%e0%b8%b3%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%9c%e0%b8%b4%e0%b8%94%e0%b9%80%e0%b8%81%e0%b8%b5%e0%b9%88%e0%b8%a2%e0%b8%a7%e0%b8%81%e0%b8%b1%e0%b8%9a-marijuana-%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%b2-%e0%b8%9e%e0%b9%89%e0%b8%99%e0%b8%84%e0%b8%b8%e0%b8%81%e0%b9%81%e0%b8%9a%e0%b8%9a%e0%b9%84%e0%b8%a3%e0%b9%89%e0%b8%a1%e0%b8%a5%e0%b8%97%e0%b8%b4%e0%b8%99-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-เปลียนรูป-1.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
33,ข่าวปลอม อย่าแชร์! กรุงไทย และออมสิน ร่วมกับเอกชนปล่อยสินเชื่อ GGH ให้กู้สูงสุด 5 แสนบาท,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%81%e0%b8%a3%e0%b8%b8%e0%b8%87%e0%b9%84-2,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-20.jpg,   ข่าวปลอม,การเงิน-หุ้น
34,ข่าวปลอม อย่าแชร์! น้ำสับปะรดผสมโหระพา ช่วยรักษาเกล็ดเลือดต่ำ เลือดจาง,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b8%aa%e0%b8%b1%e0%b8%9a%e0%b8%9b%e0%b8%b0%e0%b8%a3%e0%b8%94%e0%b8%9c%e0%b8%aa%e0%b8%a1%e0%b9%82%e0%b8%ab%e0%b8%a3%e0%b8%b0%e0%b8%9e%e0%b8%b2-%e0%b8%8a%e0%b9%88%e0%b8%a7%e0%b8%a2%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b9%80%e0%b8%81%e0%b8%a5%e0%b9%87%e0%b8%94%e0%b9%80%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%94%e0%b8%95%e0%b9%88%e0%b8%b3-%e0%b9%80%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%94%e0%b8%88%e0%b8%b2%e0%b8%87,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-27.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
35,กดเบอร์ *137 ของกสทช. สามารถระงับ SMS โฆษณาได้ ไม่มีค่าใช้จ่าย จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%81%e0%b8%94%e0%b9%80%e0%b8%9a%e0%b8%ad%e0%b8%a3%e0%b9%8c-137-%e0%b8%82%e0%b8%ad%e0%b8%87%e0%b8%81%e0%b8%aa%e0%b8%97%e0%b8%8a-%e0%b8%aa%e0%b8%b2%e0%b8%a1%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%a3%e0%b8%b0%e0%b8%87%e0%b8%b1%e0%b8%9a-sms-%e0%b9%82%e0%b8%86%e0%b8%a9%e0%b8%93%e0%b8%b2%e0%b9%84%e0%b8%94%e0%b9%89-%e0%b9%84%e0%b8%a1%e0%b9%88%e0%b8%a1%e0%b8%b5%e0%b8%84%e0%b9%88%e0%b8%b2%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b8%88%e0%b9%88%e0%b8%b2%e0%b8%a2-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-26.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
36,ข่าวปลอม อย่าแชร์! ใช้ CF ยาสีฟันสามัญประจำบ้าน อาการปากเหม็น ฟันโยก เหงือกอักเสบลดลง,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b9%83%e0%b8%8a%e0%b9%89-cf-%e0%b8%a2%e0%b8%b2%e0%b8%aa%e0%b8%b5%e0%b8%9f%e0%b8%b1%e0%b8%99%e0%b8%aa%e0%b8%b2%e0%b8%a1%e0%b8%b1%e0%b8%8d%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%88%e0%b8%b3%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99-%e0%b8%ad%e0%b8%b2%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%9b%e0%b8%b2%e0%b8%81%e0%b9%80%e0%b8%ab%e0%b8%a1%e0%b9%87%e0%b8%99-%e0%b8%9f%e0%b8%b1%e0%b8%99%e0%b9%82%e0%b8%a2%e0%b8%81-%e0%b9%80%e0%b8%ab%e0%b8%87%e0%b8%b7%e0%b8%ad%e0%b8%81%e0%b8%ad%e0%b8%b1%e0%b8%81%e0%b9%80%e0%b8%aa%e0%b8%9a%e0%b8%a5%e0%b8%94%e0%b8%a5%e0%b8%87,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-24.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
37,ข่าวบิดเบือน เติมน้ำมันตอนเช้าจะได้ปริมาณน้ำมันเยอะกว่าเติมตอนบ่าย,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9a%e0%b8%b4%e0%b8%94%e0%b9%80%e0%b8%9a%e0%b8%b7%e0%b8%ad%e0%b8%99-%e0%b9%80%e0%b8%95%e0%b8%b4%e0%b8%a1%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b8%a1%e0%b8%b1%e0%b8%99%e0%b8%95%e0%b8%ad%e0%b8%99%e0%b9%80%e0%b8%8a%e0%b9%89%e0%b8%b2%e0%b8%88%e0%b8%b0%e0%b9%84%e0%b8%94%e0%b9%89%e0%b8%9b%e0%b8%a3%e0%b8%b4%e0%b8%a1%e0%b8%b2%e0%b8%93%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b8%a1%e0%b8%b1%e0%b8%99%e0%b9%80%e0%b8%a2%e0%b8%ad%e0%b8%b0%e0%b8%81%e0%b8%a7%e0%b9%88%e0%b8%b2%e0%b9%80%e0%b8%95%e0%b8%b4%e0%b8%a1%e0%b8%95%e0%b8%ad%e0%b8%99%e0%b8%9a%e0%b9%88%e0%b8%b2%e0%b8%a2,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-19.jpg,   ข่าวบิดเบือน,นโยบายรัฐบาล-ข่าวสาร
38,ข่าวปลอม อย่าแชร์! ดื่มน้ำมะขามเปียก ช่วยลดน้ำหนักได้,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%94%e0%b8%b7%e0%b9%88%e0%b8%a1%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b8%a1%e0%b8%b0%e0%b8%82%e0%b8%b2%e0%b8%a1%e0%b9%80%e0%b8%9b%e0%b8%b5%e0%b8%a2%e0%b8%81-%e0%b8%8a%e0%b9%88%e0%b8%a7%e0%b8%a2%e0%b8%a5%e0%b8%94%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b8%ab%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b9%84%e0%b8%94%e0%b9%89,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-25.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
39,ครม. ประกาศให้ วันที่ 12 ส.ค. ของทุกปี เป็นวันผ้าไทยแห่งชาติ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%84%e0%b8%a3%e0%b8%a1-%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%81%e0%b8%b2%e0%b8%a8%e0%b9%83%e0%b8%ab%e0%b9%89-%e0%b8%a7%e0%b8%b1%e0%b8%99%e0%b8%97%e0%b8%b5%e0%b9%88-12-%e0%b8%aa-%e0%b8%84-%e0%b8%82%e0%b8%ad%e0%b8%87%e0%b8%97%e0%b8%b8%e0%b8%81%e0%b8%9b%e0%b8%b5-%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b8%a7%e0%b8%b1%e0%b8%99%e0%b8%9c%e0%b9%89%e0%b8%b2%e0%b9%84%e0%b8%97%e0%b8%a2%e0%b9%81%e0%b8%ab%e0%b9%88%e0%b8%87%e0%b8%8a%e0%b8%b2%e0%b8%95%e0%b8%b4-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-9.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
40,ข่าวปลอม อย่าแชร์! รักษาโรคไต โดยไม่ต้องฟอกไต ด้วยลิ้นจี่และเซี่ยงจี๊หมู,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b9%82%e0%b8%a3%e0%b8%84%e0%b9%84%e0%b8%95-%e0%b9%82%e0%b8%94%e0%b8%a2%e0%b9%84%e0%b8%a1%e0%b9%88%e0%b8%95%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%9f%e0%b8%ad%e0%b8%81%e0%b9%84%e0%b8%95-%e0%b8%94%e0%b9%89%e0%b8%a7%e0%b8%a2%e0%b8%a5%e0%b8%b4%e0%b9%89%e0%b8%99%e0%b8%88%e0%b8%b5%e0%b9%88%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b9%80%e0%b8%8b%e0%b8%b5%e0%b9%88%e0%b8%a2%e0%b8%87%e0%b8%88%e0%b8%b5%e0%b9%8a%e0%b8%ab%e0%b8%a1%e0%b8%b9,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-22.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
41,อย. เปิดตัวแอปฯ ปลูกกัญ จดแจ้งปลูกกัญชา - กัญชง ผ่านมือถือ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%ad%e0%b8%a2-%e0%b9%80%e0%b8%9b%e0%b8%b4%e0%b8%94%e0%b8%95%e0%b8%b1%e0%b8%a7%e0%b9%81%e0%b8%ad%e0%b8%9b%e0%b8%af-%e0%b8%9b%e0%b8%a5%e0%b8%b9%e0%b8%81%e0%b8%81%e0%b8%b1%e0%b8%8d-%e0%b8%88%e0%b8%94%e0%b9%81%e0%b8%88%e0%b9%89%e0%b8%87%e0%b8%9b%e0%b8%a5%e0%b8%b9%e0%b8%81%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%b2-%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%87-%e0%b8%9c%e0%b9%88%e0%b8%b2%e0%b8%99%e0%b8%a1%e0%b8%b7%e0%b8%ad%e0%b8%96%e0%b8%b7%e0%b8%ad-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-17.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
